City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Itaituba,BR,-4.2761,-55.9836,95.63,35,1,3.15,clear sky
292,Mariinsk,RU,56.2139,87.7472,51.76,65,11,8.12,few clouds
293,Vila,PT,42.0304,-8.1588,74.75,65,25,5.3,light rain
294,Nchelenge,ZM,-9.3451,28.734,70.38,64,28,3.15,scattered clouds
295,Kruisfontein,ZA,-34.0033,24.7314,55.89,76,99,12.59,overcast clouds
296,Obidos,BR,-1.9175,-55.5181,89.83,52,2,5.35,clear sky
297,Nichinan,JP,31.6,131.3667,67.75,80,100,4.09,overcast clouds
298,Eyrarbakki,IS,63.863,-21.1481,52.21,76,100,19.6,overcast clouds
299,Huarmey,PE,-10.0681,-78.1522,69.85,77,95,9.19,overcast clouds
300,Souillac,MU,-20.5167,57.5167,73.36,76,0,8.52,clear sky
301,Mbour,SN,14.422,-16.9638,83.25,68,75,14.07,broken clouds
302,Mulege,MX,26.8833,-111.9833,81.91,29,0,2.93,clear sky
303,Serebryanyy Bor,RU,56.8,124.8,49.14,74,89,2.15,overcast clouds
304,Moose Factory,CA,51.2585,-80.6094,61.5,51,100,10.49,overcast clouds
305,Saint George,US,37.1041,-113.5841,85.35,14,1,4.0,clear sky
306,Khani,GE,41.9563,42.9566,67.57,94,52,4.27,broken clouds
307,Verkhnyaya Toyma,RU,62.2349,44.9985,54.95,47,56,3.67,broken clouds
308,Mwene-Ditu,CD,-7.0,23.45,74.34,33,13,2.46,few clouds
309,San Patricio,US,28.017,-97.5169,86.09,63,36,15.93,scattered clouds
310,Pochutla,MX,15.7432,-96.4661,88.83,55,98,4.05,overcast clouds
311,Tunceli,TR,39.1083,39.5471,83.26,45,58,1.7,broken clouds
312,Butaritari,KI,3.0707,172.7902,82.72,76,31,15.93,scattered clouds
313,Atambua,ID,-9.1061,124.8925,72.01,89,71,2.51,broken clouds
314,Uyuni,BO,-20.4597,-66.825,44.44,14,18,5.86,few clouds
315,Vardo,NO,70.3705,31.1107,46.6,81,75,16.11,light intensity drizzle
316,Holstebro,DK,56.3601,8.6161,66.52,62,22,9.75,few clouds
317,Batemans Bay,AU,-35.7167,150.1833,43.92,75,32,5.1,scattered clouds
318,Dzhebariki-Khaya,RU,62.2167,135.8,45.97,92,66,4.16,light rain
319,Zhanaozen,KZ,43.3,52.8,80.58,31,0,16.93,clear sky
320,Bubaque,GW,11.2833,-15.8333,78.75,75,98,11.65,overcast clouds
321,Sri Aman,MY,1.2376,111.4621,75.29,98,95,0.54,overcast clouds
322,Belaya Gora,RU,68.5333,146.4167,54.88,47,29,6.06,scattered clouds
323,Mansa,IN,29.9833,75.3833,92.84,29,81,7.02,broken clouds
324,Oussouye,SN,12.485,-16.5469,86.68,49,100,12.06,overcast clouds
325,Homer,US,59.6425,-151.5483,55.78,77,1,0.0,clear sky
